STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VIR,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2009,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,134274.55871988932,A,Annual,Virgin Islands (U.S.),GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2009,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,29110.4844611127,A,Annual,West Bank and Gaza,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2009,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,10795.934681111734,A,Annual,Zambia,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2009,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,9246.274686264442,A,Annual,Zimbabwe,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2010,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,10927.487312269317,A,Annual,Eastern & Southern Africa,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2010,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,14123.902962869712,A,Annual,Western & Central Africa,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2010,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,57773.61921192138,A,Annual,Arab World,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2010,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,57630.67967518826,A,Annual,Caribbean small states,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2010,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,66699.8965982107,A,Annual,Central Europe and the Baltics,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2010,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,22417.703611849574,A,Annual,Early-demographic dividend,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2010,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,26380.786350547172,A,Annual,East Asia & Pacific,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAP,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2010,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,19095.436001263668,A,Annual,East Asia & Pacific (excluding high income),GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2006,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,11421.897386618364,A,Annual,Vietnam,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VIR,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2006,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,137566.18038978876,A,Annual,Virgin Islands (U.S.),GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2006,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,27075.147267013777,A,Annual,West Bank and Gaza,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2006,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,9766.86405215097,A,Annual,Zambia,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2006,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,10540.060054570971,A,Annual,Zimbabwe,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2007,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,10441.795435958174,A,Annual,Eastern & Southern Africa,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2007,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,12557.593503965862,A,Annual,Western & Central Africa,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,2007,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,56920.67322943459,A,Annual,Arab World,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
